TFrames;DuraciónFr;TSegundos;DuraciónSeg;TMilisegundos;DuraciónMiliseg;mirada;expresión facial usuario;expresión gestual perro;postura del cuerpo usuario;postura del cuerpo perro;orientación del cuerpo;emblemas;señales de afecto usuario;señales de afecto perro;adaptadores usuario;adaptadores perro;conducta vocal usuario;conducta vocal perro;Otto;Bonie
888;87;0:0:35,531;0:0:3,505;35531;3505;14;2U7;2P6;3U211;3P1;421;;;52P2;53U2;;;;;trabaja;
975;75;0:0:39,036;0:0:3,002;39036;3002;14;2U7;2P1;3U211;3P1;421;;;;53U2;;;;;trabaja;
1050;82;0:0:42,038;0:0:3,304;42038;3304;14;2U7;2P2;3U211;3P1;421;;;52P2;;;;;;trabaja;
1133;57;0:0:45,342;0:0:2,295;45342;2295;12;2U5;2P2;3U211;3P1;421;;;52P2;;;6U1;;;trabaja;
1190;215;0:0:47,637;0:0:8,615;47637;8615;14;2U5;2P6;3U211;3P1;421;;;;53U2;;;;;trabaja;
1406;21;0:0:56,252;0:0:0,876;56252;876;14;2U5;2P2;3U2123;3P1;421;;;;;;;;;trabaja;
1428;78;0:0:57,128;0:0:3,129;57128;3129;12;2U5;2P4;3U2122;3P1;421;;;;;;;;;trabaja;
1506;87;0:1:0,257;0:0:3,503;60257;3503;12;2U1;2P4;3U222;3P1;421;;52U5;;;;;;;trabaja;
1594;72;0:1:3,760;0:0:2,903;63760;2903;14;2U7;2P6;3U221;3P1;421;;;52P2;;;;;;trabaja;
1666;179;0:1:6,663;0:0:7,198;66663;7198;14;2U5;2P6;3U211;3P1;421;;;52P2;53U2;;;;;trabaja;
1846;288;0:1:13,861;0:0:11,525;73861;11525;14;2U7;2P2;3U222;3P1;421;;;;;;;;;trabaja;
2134;132;0:1:25,386;0:0:5,291;85386;5291;14;2U7;2P2;3U211;;421;;;;53U2;;;;;trabaja;
2266;210;0:1:30,677;0:0:8,419;90677;8419;12;2U7;2P2;3U111;3P1;411;;;;;;;;;trabaja;
2477;513;0:1:39,096;0:0:20,524;99096;20524;14;2U7;2P2;3U1123;3P1;412;;;52P2;;;;;;trabaja;
2990;127;0:1:59,620;0:0:5,102;119620;5102;14;2U5;2P4;3U111;3P1;412;;;;;53P3;;;;trabaja;
3118;120;0:2:4,722;0:0:4,813;124722;4813;14;2U7;2P6;3U111;3P1;412;;;52P2;;;;;;trabaja;
3238;209;0:2:9,535;0:0:8,398;129535;8398;14;2U7;2P4;3U111;3P1;413;;;;;53P3;;;;trabaja;
3448;59;0:2:17,933;0:0:2,399;137933;2399;12;2U5;2P6;3U111;3P1;412;;;52P2;;;;;;trabaja;
3508;395;0:2:20,332;0:0:15,821;140332;15821;14;2U5;2P6;3U111;3P1;412;;;52P3;;;;;;trabaja;
3903;77;0:2:36,153;0:0:3,103;156153;3103;14;2U5;2P6;3U111;3P1;411;;;52P2;;;;;;trabaja;
3981;595;0:2:39,256;0:0:23,818;159256;23818;14;2U5;2P6;3U111;3P1;412;;;52P2;;;;;;trabaja;
4576;555;0:3:3,074;0:0:22,227;183074;22227;14;2U5;2P6;3U111;3P1;412;;;52P2;;;6U1;;;trabaja;
5132;70;0:3:25,301;0:0:2,804;205301;2804;14;2U5;2P6;3U111;3P1;411;;;;;;6U1;;;trabaja;
5202;360;0:3:28,105;0:0:14,412;208105;14412;14;2U5;2P6;3U1123;3P1;412;;;52P2;;;;;;trabaja;
5562;1736;0:3:42,517;0:1:9,475;222517;69475;14;2U7;2P1;3U111;3P1;412;;;;;;;;;trabaja;
7299;110;0:4:51,992;0:0:4,400;291992;4400;12;;2P2;3U33;3P1;431;;;;;;;;;trabaja;
7409;357;0:4:56,392;0:0:14,314;296392;14314;14;2U7;2P6;3U33;3P1;431;;;52P2;;;;;;trabaja;
7767;820;0:5:10,706;0:0:32,833;310706;32833;12;2U7;2P2;3U33;3P1;431;;;52P2;;;;6P31;;trabaja;
8588;60;0:5:43,539;0:0:2,404;343539;2404;14;2U7;2P2;3U33;3P1;432;;;52P2;;;;;;trabaja;
8648;60;0:5:45,943;0:0:2,414;345943;2414;14;2U7;2P2;3U33;3P4;432;;;;;;;;;trabaja;
8708;127;0:5:48,357;0:0:5,092;348357;5092;14;2U7;2P6;3U33;3P1;432;;;52P2;;;;;;trabaja;
8836;352;0:5:53,449;0:0:14,114;353449;14114;14;2U7;2P6;3U33;3P1;431;;;52P2;;;;;;trabaja;
9189;92;0:6:7,563;0:0:3,704;367563;3704;12;2U7;2P6;3U33;3P1;431;;;52P2;;;;6P14;;trabaja;
9281;180;0:6:11,267;0:0:7,208;371267;7208;14;2U7;2P6;3U33;3P1;431;;;52P2;;;;;;trabaja;
9461;275;0:6:18,475;0:0:11,011;378475;11011;14;2U7;2P2;3U33;3P1;431;;;52P2;;;;6P14;;trabaja;
9737;85;0:6:29,486;0:0:3,402;389486;3402;14;2U7;2P6;3U33;3P1;432;;;52P2;;;;;;trabaja;
9822;65;0:6:32,888;0:0:2,603;392888;2603;14;2U7;2P6;3U33;3P3;432;;;;;;;;;trabaja;
9887;34;0:6:35,491;0:0:1,397;395491;1397;14;2U7;2P6;3U33;3P4;432;;;52P2;;;;;;trabaja;
9922;47;0:6:36,888;0:0:1,906;396888;1906;14;2U7;2P6;3U33;3P1;432;;;52P2;;;;;;trabaja;
9969;287;0:6:38,794;0:0:11,513;398794;11513;14;2U7;2P6;3U33;3P1;431;;;52P2;;;;;;trabaja;
10257;92;0:6:50,307;0:0:3,695;410307;3695;14;2U7;2P6;3U33;3P2;431;;;52P2;;;;6P14;;trabaja;
10350;130;0:6:54,002;0:0:5,214;414002;5214;14;;2P2;3U33;3P4;432;;;52P2;;;;;;trabaja;
10480;395;0:6:59,216;0:0:15,816;419216;15816;14;;2P6;3U33;3P1;431;;;52P2;;;;;;trabaja;
10875;240;0:7:15,032;0:0:9,605;435032;9605;14;2U5;2P6;3U33;3P1;431;;;52P2;;;;6P14;;trabaja;
11115;1323;0:7:24,637;0:0:52,957;444637;52957;14;2U7;2P6;3U33;3P1;431;;;52P2;;;;;;trabaja;
12439;157;0:8:17,594;0:0:6,306;497594;6306;12;;2P6;3U33;3P4;432;;;52P2;;;;;;trabaja;
12597;78;0:8:23,900;0:0:3,155;503900;3155;14;;2P6;3U33;3P1;432;;;52P2;;;;;;trabaja;
12676;136;0:8:27,055;0:0:5,454;507055;5454;14;;2P6;3U33;3P3;432;;;;;;;;;trabaja;
12812;67;0:8:32,509;0:0:2,703;512509;2703;14;;2P6;3U33;3P1;432;;;52P2;;;;;;trabaja;
12880;102;0:8:35,212;0:0:4,104;515212;4104;14;;2P6;3U33;3P4;432;;;;;;;;;trabaja;
12982;823;0:8:39,316;0:0:32,926;519316;32926;14;2U5;2P6;3U33;3P4;432;;;52P2;;;;;;trabaja;
13806;1634;0:9:12,242;0:1:5,365;552242;65365;14;2U7;2P6;3U33;3P1;431;;;52P2;;;;;;trabaja;
15440;395;0:10:17,607;0:0:15,832;617607;15832;14;2U7;2P6;3U33;3P3;431;;;;;;;;;trabaja;
15835;267;0:10:33,439;0:0:10,702;633439;10702;12;2U7;2P2;3U34;3P1;431;;52U5;;;;;;;trabaja;
16103;;0:10:44,141;;644141;;12;2U7;2P2;3U32;3P1;431;;;;;;;;;trabaja;